ego_label,seed_strategy,propagation_regime,propagation_mode,severity_regime,budget_requested,method,mean_total_harm,mean_worst_community_harm_rate,delta_harm_vs_greedy,delta_worst_harm_vs_greedy,delta_harm_vs_fairness,delta_worst_harm_vs_fairness
large_circles,high_degree,high,constant,medium,10,harm_aware_greedy_blocking,125.4999999999998,1.061111111111111,0.39999999999997726,0.058333333333333126,-0.7999999999999972,0.06259920634920613
moderate_large_circles,high_degree,medium,bucket,medium,10,harm_aware_resilience_greedy_blocking,77.74999999999997,0.7017647058823531,0.44999999999998863,-0.0620120320855615,0.04999999999999716,-0.05904411764705886
moderate_large_circles,community_concentrated,medium,constant,medium,10,harm_aware_greedy_blocking,75.59999999999998,0.6993850267379682,0.4999999999999858,0.03050802139037434,-0.6499999999999915,0.01226655697243939
moderate_large_circles,high_degree,medium,bucket,medium,10,harm_aware_greedy_blocking,77.94999999999997,0.7651804812834226,0.6499999999999915,0.001403743315508077,0.25,0.004371657754010716
large_circles,community_concentrated,medium,constant,medium,10,harm_aware_greedy_blocking,53.30000000000002,0.5098214285714285,0.6499999999999986,0.02509920634920626,2.6499999999999986,0.04047619047619044
large_circles,high_degree,high,constant,medium,10,harm_aware_resilience_greedy_blocking,126.0999999999998,1.0095486111111112,0.9999999999999716,0.0067708333333333925,-0.20000000000000284,0.011036706349206393
large_circles,high_degree,medium,bucket,medium,10,harm_aware_greedy_blocking,68.7,0.5472470238095238,1.0,0.023115079365079505,-0.5499999999999972,-0.06560019841269837
large_circles,community_concentrated,medium,bucket,medium,10,harm_aware_greedy_blocking,53.100000000000016,0.516170634920635,1.1499999999999986,0.05625000000000008,1.1999999999999957,0.07579365079365086
large_circles,community_concentrated,medium,constant,high,10,harm_aware_resilience_greedy_blocking,79.65000000000003,0.7147321428571427,1.200000000000017,-0.012797619047619002,0.45000000000000284,-0.06830357142857157
moderate_large_circles,high_degree,medium,constant,medium,10,harm_aware_resilience_greedy_blocking,78.64999999999998,0.6734024064171125,1.3000000000000114,-0.06628342245989305,1.8499999999999943,-0.036176470588235254
moderate_large_circles,community_concentrated,high,constant,medium,10,harm_aware_resilience_greedy_blocking,118.54999999999984,0.9635294117647056,1.3499999999999943,-0.01665158371040698,-0.09999999999999432,-0.06427807486630999
large_circles,high_degree,medium,constant,high,10,harm_aware_resilience_greedy_blocking,102.97500000000008,0.8968749999999999,1.3499999999999943,-0.007031250000000155,0.22499999999999432,0.017447916666666563
large_circles,high_degree,medium,constant,medium,10,harm_aware_greedy_blocking,70.3,0.625173611111111,1.3500000000000085,0.062216183574879125,2.999999999999986,0.0607886904761904
moderate_large_circles,high_degree,high,bucket,high,10,harm_aware_resilience_greedy_blocking,192.9000000000003,1.646470588235295,1.3500000000000227,0.05286096256684414,0.7500000000000568,-0.040989304812833804
large_circles,high_degree,high,constant,high,10,harm_aware_greedy_blocking,191.1750000000003,1.5515624999999995,1.4250000000000114,-0.09843750000000018,2.7750000000000625,0.01328124999999969
large_circles,high_degree,medium,bucket,high,10,harm_aware_resilience_greedy_blocking,115.12500000000011,0.976748511904762,1.575000000000017,0.02336309523809521,-0.7499999999999858,-0.043865165631469805
moderate_large_circles,community_concentrated,medium,constant,medium,10,harm_aware_resilience_greedy_blocking,76.84999999999998,0.6911229946524068,1.7499999999999858,0.02224598930481292,0.6000000000000085,0.004004524886877969
large_circles,high_degree,medium,bucket,high,10,harm_aware_greedy_blocking,115.42500000000013,1.0611979166666663,1.8750000000000284,0.10781249999999953,-0.4499999999999744,0.04058423913043452
large_circles,community_concentrated,medium,bucket,high,10,harm_aware_greedy_blocking,87.30000000000004,0.735267857142857,1.9500000000000028,-0.03392857142857142,0.9000000000000057,-0.05401785714285712
large_circles,high_degree,high,bucket,high,10,harm_aware_resilience_greedy_blocking,209.92500000000035,1.583333333333333,1.9500000000000455,0.002827380952381109,2.55000000000004,0.016666666666666607
moderate_large_circles,community_concentrated,high,bucket,high,10,harm_aware_resilience_greedy_blocking,191.40000000000023,1.6544919786096264,2.0999999999999375,0.006256684491977804,2.549999999999983,0.11125668449197779
large_circles,high_degree,medium,bucket,medium,10,harm_aware_resilience_greedy_blocking,69.8,0.5425595238095238,2.0999999999999943,0.01842757936507944,0.5499999999999972,-0.07028769841269844
large_circles,high_degree,high,bucket,high,10,harm_aware_greedy_blocking,210.15000000000032,1.587648809523809,2.1750000000000114,0.0071428571428571175,2.7750000000000057,0.020982142857142616
large_circles,community_concentrated,high,bucket,high,10,harm_aware_greedy_blocking,187.20000000000027,1.2675595238095234,2.8500000000000227,-0.15877976190476217,2.4000000000000057,-0.12306547619047614
large_circles,community_concentrated,high,bucket,medium,10,harm_aware_resilience_greedy_blocking,114.44999999999985,0.8826388888888889,3.3500000000000085,0.030481797791580334,3.44999999999996,-0.08065476190476195
moderate_large_circles,high_degree,high,bucket,high,10,harm_aware_greedy_blocking,194.92500000000027,1.6232085561497338,3.375,0.029598930481282926,2.775000000000034,-0.06425133689839502
large_circles,community_concentrated,high,bucket,high,10,harm_aware_resilience_greedy_blocking,188.10000000000028,1.394047619047619,3.7500000000000284,-0.03229166666666661,3.3000000000000114,0.003422619047619424
